filename,altitude,relative_altitude,azimuth,thin_sky_cover,opaque_sky_cover,cloud_cover_fixed,cloud_cover_hybrid_mce,cloud_cover_hybrid_otsu,cloud_cover_hybrid_kmeans,thin_cloud_cover_TSI,opaque_cloud_cover_TSI,cloud_cover_TSI,energy,entropy,contrast,homogeneity,outside_c,outside_s,horizon_c,horizon_s,inner_c,inner_s,sun_c,sun_s
2015010109380,10.138305053164443,0.6720192059212051,150.82674680998647,0.17687553960103602,0.8135593220338984,0.9904348616349343,0.9999545599127551,0.9999545599127551,0.9999545599127551,0.27102287783764684,0.726570090981362,0.9975929688190088,,,,,,,,,,,,
2015010109480,10.863212949552567,0.7200698442026706,153.04704416376416,0.30596218878373166,0.10605751117768548,0.41201969996141713,0.2547150541295023,0.3852159506139216,0.022673519512416994,0.1933654979211597,0.2586877737510283,0.452053271672188,,,,,,,,,,,,
2015010109580,11.534670569469233,0.7645775221803912,155.2899005054946,0.5536448513209604,0.38715613002884985,0.9408009813498103,0.9947752209172894,0.9947752209172894,0.9947752209172894,0.47022995100851833,0.49441673654941076,0.9646466875579292,,,,,,,,,,,,
2015010110080,12.151116630887746,0.8054387500202874,157.55430164503082,0.060022264125224344,0.9396369584478724,0.9996592225730968,0.9999318445146194,0.9999318445146194,0.9999318445146194,0.25376828890951686,0.7461212040843389,0.9998894929938558,,,,,,,,,,,,
2015010110180,12.711073811361336,0.8425556031627449,159.83901791560493,0.15961045152209938,0.8018206170120996,0.961431068534199,0.9934848244080725,0.9934848244080725,0.9934848244080725,0.24221254393915947,0.7281851745407114,0.9703977184798709,,,,,,,,,,,,
2015010110280,13.213162155141784,0.8758366110156615,162.14260885234165,0.15814069553776003,0.7662258115741476,0.9243665071119076,0.474081803951816,0.581134729248429,0.43123311707801354,0.20833147991637382,0.7367999644143943,0.9451314443307681,,,,,,,,,,,,
2015010110380,13.656112369965808,0.9051976383341043,164.46343136185843,0.11695773624327209,0.8488179320055413,0.9657756682488134,0.3262098880385166,0.4747121477074013,0.46250551902028675,0.18609252384234043,0.785852433141409,0.9719449569837494,,,,,,,,,,,,
2015010110480,14.038778726678308,0.9305627402739426,166.79965155119922,0.1783158803352793,0.7949253799150444,0.9732412602503238,0.3524521272970947,0.5545055993457965,0.4849275831004135,0.14998106018405044,0.8282715746785801,0.9782526348626306,,,,,,,,,,,,
2015010110580,14.360151260898835,0.9518649711813026,169.14926026610087,0.4052060639070443,0.3674655047204067,0.772671568627451,0.3151779230210603,0.35909132171387076,0.11299566655794231,0.3824689652098331,0.4169248256034233,0.7993937908132565,,,,,,,,,,,,
2015010111080,14.619366972838035,0.9690471269742288,171.51009225595442,0.0810737157650906,0.9184266703002225,0.9995003860653131,0.999977290275696,0.999977290275696,0.999977290275696,0.1762781547711147,0.8233460798832917,0.9996242346544064,,,,,,,,,,,,
2015010111180,14.815719730451113,0.982062401574828,173.87984874211747,0.004088307440719542,0.9958662669210503,0.9999545743617698,1.0,1.0,1.0,0.08093187589709618,0.9190239593684443,0.9999558352655404,,,,,,,,,,,,
2015010111280,14.948668602919215,0.9908749392954451,176.25612302435206,0.03242727706247019,0.9675727229375298,1.0,1.0,1.0,1.0,0.1572520095397933,0.8427038247504638,0.999955834290257,,,,,,,,,,,,
2015010111380,15.017844386090033,0.9954602673785571,178.63642862687004,0.02895950212369682,0.9710404978763032,1.0,1.0,1.0,1.0,0.11389486286943219,0.8861051371305678,1.0,,,,,,,,,,,,
2015010111480,15.02305412783266,0.9958055959606599,181.0182293698074,0.42909049619620754,0.538208243442716,0.9672987396389235,1.0,1.0,1.0,0.42584807029251476,0.5663886108330553,0.9922366811255701,,,,,,,,,,,,
2015010111580,14.964283517372879,0.9919099764497477,183.39897066080536,0.18977654646198563,0.289831047324916,0.47960759378690165,0.3073394495412844,0.3734217458443092,0.1300064008778347,0.21143747218513573,0.292167334223409,0.5036048064085448,,,,,,,,,,,,
2015010112080,14.841697065976827,0.9837843135019594,185.77611124297184,0.19259158320274353,0.26797029365674185,0.46056187685948535,0.3110762871613182,0.34816379369080874,0.09976066645188014,0.23287060763385994,0.251141959491076,0.4840125671249359,,,,,,,,,,,,
2015010112180,14.655636073487416,0.9714512302331129,188.1471546132997,0.3779493584648575,0.3571250141932554,0.7350743726581128,0.30119223345066426,0.36439196094016124,0.1270236039147956,0.3827234686609687,0.40362357549857547,0.7863470441595442,,,,,,,,,,,,
